ent,kind
Do,O
you,O
like,O
blood,O
;,O
gore,O
?,O
Are,O
you,O
into,O
cutting,O
;,O
slashing,O
?,O
Is,O
cannibalism,O
more,O
your,O
speed,O
?,O
Or,O
maybe,O
monsters,O
;,O
evil,O
children,O
get,O
you,O
going,O
?,O
Whatever,O
your,O
ghoulish,O
pleasure,O
",",O
we,O
have,O
a,O
tale,O
for,O
you,O
.,O
In,O
the,O
tradition,O
of,O
Creepshow,O
;,O
Tales,O
from,O
the,O
Crypt,LOCATION
",",O
DRIVE-IN,O
HORRORSHOW,O
features,O
five,O
terrifying,O
tales,O
of,O
horror,O
.,O
Giant,O
insects,O
are,O
found,O
in,O
the,O
sewers,O
of,O
NYC,O
.,O
One,O
man,O
",",O
who,O
is,O
known,O
for,O
crying,O
wolf,O
has,O
to,O
tell,O
his,O
bosses,O
who,O
never,O
take,O
him,O
serious,O
.,O
He,O
puts,O
his,O
job,O
and,O
his,O
love,O
life,O
on,O
the,O
line,O
for,O
the,O
sake,O
of,O
the,O
city,O
!,O
Only,O
when,O
they,O
find,O
his,O
story,O
to,O
be,O
true,O
is,O
it,O
too,O
late,O
...,O
or,O
is,O
it,O
?,O
While,O
joy,O
riding,O
along,O
a,O
lonely,O
deserted,O
road,O
",",O
two,O
cars,O
happen,O
upon,O
a,O
mutilated,O
body,O
.,O
Stranded,O
",",O
the,O
group,O
forces,O
deeper,O
into,O
the,O
woods,O
in,O
search,O
of,O
help,O
.,O
Unseen,O
terror,O
draws,O
the,O
group,O
apart,O
with,O
hallucinations,O
of,O
friends,O
and,O
lovers,O
.,O
Soon,O
an,O
invisible,O
menace,O
hunts,O
new,O
prey,O
.,O
One,O
by,O
one,O
the,O
group,O
is,O
dissolved,O
",",O
leaving,O
the,O
last,O
one,O
to,O
ally,O
with,O
the,O
only,O
remaining,O
local,O
for,O
a,O
final,O
",",O
albeit,O
futile,O
",",O
attempt,O
at,O
escape,O
.,O
No,O
warning,O
.,O
No,O
mercy,O
.,O
Because,O
lost,O
and,O
found,O
are,O
worlds,O
apart,O
when,O
you,O
're,O
Out,O
There,O
.,O
John,PERSON
Porter,PERSON
is,O
going,O
through,O
a,O
crisis,O
in,O
his,O
faith,O
.,O
He,O
turns,O
to,O
his,O
girlfriend,O
Fran,O
only,O
to,O
find,O
out,O
that,O
she,O
just,O
may,O
be,O
a,O
vampire,O
serial,O
killer,O
.,O
Meanwhile,O
",",O
John,PERSON
is,O
confronted,O
by,O
a,O
mysterious,O
man,O
in,O
a,O
dog,O
suit,O
who,O
wants,O
to,O
change,O
his,O
life,O
for,O
the,O
better,O
.,O
Will,O
John,PERSON
Porter,PERSON
be,O
able,O
to,O
find,O
what,O
he,O
's,O
looking,O
for,O
and,O
salvage,O
his,O
relationship,O
with,O
Fran,O
?,O
Find,O
out,O
the,O
answers,O
to,O
the,O
question,O
in,O
``,O
16,O
Heads,O
and,O
Counting,O
.,O
'',O
A,O
film,O
that,O
shows,O
some,O
of,O
the,O
more,O
popular,O
aspects,O
in,O
American,O
horror,O
today,O
",",O
Rape,O
and,O
Torture,O
.,O
However,O
",",O
in,O
this,O
film,O
both,O
are,O
approached,O
with,O
the,O
belief,O
that,O
it,O
is,O
better,O
to,O
show,O
less,O
than,O
to,O
through,O
it,O
in,O
the,O
audiences,O
face,O
without,O
context,O
.,O
